horizon,model,phase_offset,n,mae_skill_zero,brier_skill_frequency,direction_accuracy
15,turkey,8,2,-0.0010760922174497464,-0.2539436689453938,0.0
15,turkey,9,6,-0.005794083858018825,-0.012900904350087727,0.5
15,turkey,10,5,0.002027880616949987,0.016999939697597055,0.4
15,turkey,11,1,-0.014034254676971836,-0.009127733420216,0.0
15,turkey,12,1,0.00764159887138869,0.008252264559768907,0.0
15,turkey,13,1,-0.012022062709279828,-0.004178360790795588,0.0
15,turkey,14,1,-0.011054749483047483,-0.27130335880726064,0.0
15,combined,0,1,-0.012833035290141868,0.0356255588699379,0.0
15,combined,1,4,-0.009678296995484531,-0.36513477624045565,0.25
15,combined,2,5,0.0034792274203395077,0.19884564411040856,0.8
15,combined,3,1,0.00019075800837231593,-0.15263846040255874,0.0
15,combined,5,1,-0.016499856679642436,0.4698797793899917,1.0
15,combined,7,1,0.0034497154315124463,0.5353641851899544,1.0
15,combined,8,2,0.006539429751706162,-0.1046418499121815,0.5
15,combined,9,6,-0.00010558755312803716,-0.005363002879899881,0.5
15,combined,10,5,0.004110323698618974,0.09663310997270036,0.6
15,combined,11,1,-0.009395084744520762,-0.03765486816575425,0.0
15,combined,12,1,6.802550612716035e-05,-0.1783436733658872,0.0
15,combined,13,1,0.006037241270028923,0.34071933850223907,1.0
15,combined,14,1,-0.00033221342820247005,-0.2765728663845677,0.0
15,nonlinear,0,1,-0.01608416740795423,-0.030757672897553157,0.0
15,nonlinear,1,4,-0.00875774097235463,-0.28602464238621983,0.5
15,nonlinear,2,5,0.0023055555290735358,0.14667817105702619,0.8
15,nonlinear,3,1,0.0025130639216926175,-0.14551681974249603,0.0
15,nonlinear,5,1,-0.017127594600127194,0.4738449626095679,1.0
15,nonlinear,7,1,0.0032238561141015136,0.5350774089402961,1.0
15,nonlinear,8,2,0.007867865176706242,-0.04008749641812015,0.5
15,nonlinear,9,6,-0.0007746957484046704,-0.030010789685341432,0.5
15,nonlinear,10,5,0.003458142978421997,0.08524291427954922,0.6
15,nonlinear,11,1,-0.010641876502267025,-0.04321113768341678,0.0
15,nonlinear,12,1,-0.001893813125662296,-0.20849287634499825,0.0
15,nonlinear,13,1,0.0046733346727163075,0.3315654912090534,1.0
15,nonlinear,14,1,-0.002805195540249975,-0.2721378181753671,0.0
30,baseline,0,1,0.0,0.0,0.0
30,baseline,1,3,0.0,0.0,0.3333333333333333
30,baseline,2,4,0.0,0.0,0.5
30,baseline,3,1,0.0,0.0,1.0
30,baseline,5,1,0.0,0.0,0.0
30,baseline,7,1,0.0,0.0,0.0
30,baseline,8,1,0.0,0.0,0.0
30,baseline,9,3,0.0,0.0,0.3333333333333333
30,baseline,10,2,0.0,0.0,0.0
30,baseline,12,2,0.0,0.0,0.0
30,baseline,13,1,0.0,0.0,0.0
30,baseline,24,3,0.0,0.0,0.6666666666666666
