rule,horizon,eligible_n,called_n,coverage,up_calls,down_calls,flat_outcomes,raw_hit_rate_including_flat,mean_signed_log_return,median_signed_change_inr,holding_hurdle_inr,economic_hit_rate,mean_signed_net_value_inr,median_signed_net_value_inr,bootstrap_mean_signed_ci_low,bootstrap_mean_signed_ci_high,raw_one_sided_p,phase_cohort_count,nonoverlap_n_min,nonoverlap_n_median,nonoverlap_n_max,phase_mean_signed_min,phase_mean_signed_median,phase_hit_min,phase_hit_median,standardized_edge,max_shift_adjusted_p,passes_prespecified_rule_gate
rule_ten_melt,90,468,219,0.46794871794871795,132,87,2,0.6575342465753424,0.02844354586225666,1400.0,2700,0.4611872146118721,451.5981735159817,-300.0,-0.002842921133378169,0.059939124628566896,0.03798100949525238,1,7,7.0,7,-0.0024967768503677446,-0.0024967768503677446,0.5714285714285714,0.5714285714285714,1.2004150440075034,0.6262491672218521,False
rule_scrap_ingot,5,590,242,0.4101694915254237,119,123,49,0.34710743801652894,-0.0012290773391048302,0.0,150,0.4049586776859504,-44.62809917355372,-150.0,-0.0044098843799064225,0.002027453940660808,0.7586206896551724,3,69,70.0,70,-0.0015281255135355131,-0.0015132537122085384,0.32857142857142857,0.32857142857142857,-0.7001067694796167,1.0,False
rule_scrap_ingot,10,586,236,0.40273037542662116,118,118,30,0.3855932203389831,-0.0006748491654687624,0.0,300,0.3983050847457627,-26.271186440677965,-100.0,-0.0063012134600874195,0.005511707311884981,0.6106946526736632,6,43,43.0,43,-0.0018623779408205217,-0.00162270160740017,0.4186046511627907,0.4186046511627907,-0.21246197935276534,1.0,False
rule_scrap_ingot,15,576,228,0.3958333333333333,116,112,29,0.4473684210526316,0.0010389604294402243,0.0,450,0.4824561403508772,31.57894736842105,-50.0,-0.007439894417571345,0.01070052855269697,0.42628685657171417,4,30,30.0,30,-0.003409520921820556,-0.003409520921820556,0.3333333333333333,0.3333333333333333,0.22263259629059368,0.960692871419054,False
rule_scrap_ingot,30,550,213,0.38727272727272727,113,100,22,0.49765258215962443,0.006239793249484704,0.0,900,0.45539906103286387,173.70892018779344,-200.0,-0.007892381333664529,0.02107715013091069,0.19990004997501248,11,17,17.0,18,0.00989593737261122,0.010478051335705998,0.6111111111111112,0.6470588235294118,0.6818805341349848,0.8814123917388408,False
rule_scrap_ingot,45,526,201,0.3821292775665399,113,88,11,0.527363184079602,0.01099045382157776,200.0,1350,0.48258706467661694,231.59203980099502,-150.0,-0.006139573301813954,0.02627692769728186,0.10444777611194403,22,10,10.0,10,0.0013282758390830464,0.002071693378605929,0.6,0.6,0.7400228493690046,0.8614257161892072,False
rule_scrap_ingot,60,503,203,0.40357852882703776,111,92,5,0.5270935960591133,0.015545154823532378,300.0,1800,0.5369458128078818,405.9113300492611,200.0,-0.007043332102000779,0.03505257724655767,0.09895052473763119,22,8,9.0,9,0.00295969330178773,0.007771330529401864,0.3333333333333333,0.4444444444444444,0.8724438023904902,0.8141239173884077,False
rule_scrap_ingot,90,468,196,0.4188034188034188,113,83,3,0.7244897959183674,0.040863565977601254,2000.0,2700,0.6275510204081632,1107.6530612244899,1200.0,0.011610652333006287,0.06965542757189255,0.0004997501249375312,26,5,6.0,6,0.007273505283223402,0.0408562970113059,0.3333333333333333,0.6666666666666666,1.5966530744908192,0.3397734843437708,False
rule_local_momentum,5,590,424,0.7186440677966102,205,219,86,0.4481132075471698,0.0016126823516189135,0.0,150,0.5495283018867925,63.679245283018865,150.0,-0.0008153680920909792,0.003958679334523336,0.09845077461269365,4,115,115.5,116,0.0022660789944542094,0.002330637170042176,0.47413793103448276,0.4761994002998501,1.1799833269770856,0.6489007328447701,False
rule_local_momentum,10,586,414,0.7064846416382252,198,216,46,0.5169082125603864,0.0034134724307881693,100.0,300,0.5531400966183575,139.85507246376812,200.0,-0.00044718717975058376,0.007494106153547983,0.04697651174412794,8,62,62.0,63,0.004784753627744672,0.0048484808656569555,0.5555555555555556,0.5645161290322581,1.2904242758700282,0.5689540306462358,False
rule_local_momentum,15,576,403,0.6996527777777778,188,215,44,0.5235732009925558,0.005486606125788303,100.0,450,0.6054590570719603,236.60049627791562,250.0,-0.00031617116322637444,0.011410334894999302,0.034482758620689655,10,45,45.0,45,0.0046028410466537285,0.004942991075945172,0.5111111111111111,0.5111111111111111,1.4399226311031568,0.4596935376415723,False
rule_local_momentum,30,550,386,0.7018181818181818,173,213,32,0.5906735751295337,0.011541545909028837,300.0,900,0.5984455958549223,526.6839378238342,800.0,0.0012233512610281695,0.02135112911681091,0.015992003998001,10,23,23.0,23,0.007919714378225738,0.00846799731700529,0.4782608695652174,0.5217391304347826,1.4670385748245272,0.4463690872751499,False
rule_local_momentum,45,526,358,0.6806083650190115,173,185,12,0.5670391061452514,0.012567548719208194,400.0,1350,0.5810055865921788,506.98324022346367,800.0,0.001949316025304371,0.022753202975683524,0.010994502748625687,12,15,15.0,15,0.00936205813675563,0.010205315958726823,0.4666666666666667,0.5333333333333333,1.0363959582378905,0.7181878747501665,False
