horizon,model,phase_offset,n,mae_skill_zero,brier_skill_frequency,direction_accuracy
15,internal,5,5,-0.0051179493910674355,-0.05198687799563151,0.4
15,internal,6,4,-0.0047354790016257,0.05338427080376951,0.5
15,internal,7,3,0.0018892302231522974,0.06251352991491865,0.3333333333333333
15,internal,8,4,-0.004120843816283963,-0.06715889026796606,0.5
15,internal,9,6,-0.000702593669477742,-0.0006721937146546564,0.3333333333333333
15,internal,10,4,-0.003813792365857046,-0.053281793460502436,0.5
15,internal,11,3,-0.01504356868244196,-0.24523752363516904,0.0
15,internal,12,5,-0.002796605367147466,0.06983195606187853,0.2
15,internal,13,4,-0.006360164718867519,-0.020983909907786535,0.25
15,internal,14,5,-0.0023270372948367597,0.023832563886256874,0.4
15,local,0,3,-0.004309333403881392,-0.0012735107961829861,0.3333333333333333
15,local,1,5,-0.004783664628651714,-0.06639360519012394,0.6
15,local,2,6,0.004465002782220392,0.10711249639998394,0.8333333333333334
15,local,3,3,-0.005999472054068155,-0.10346319756087285,0.0
15,local,4,4,0.001434339997327748,0.03175072458657746,0.5
15,local,5,5,-0.007533002333983099,-0.04902147535487433,0.4
15,local,6,4,-0.00044123697004910464,0.1669074617608416,0.75
15,local,7,3,0.005293085987683424,0.10833522431072001,0.3333333333333333
15,local,8,4,-0.004506713406659549,-0.07865620837522913,0.5
15,local,9,6,-0.0013524951735320728,-0.06726305951876299,0.5
15,local,10,4,-0.0013896483013714801,-0.02706111602556971,0.5
15,local,11,3,-0.013894976927580734,-0.1025962632550419,0.0
15,local,12,5,-0.002426168596606184,0.05158834280008595,0.6
15,local,13,4,-0.0052343560881966955,0.02544346870727865,0.5
15,local,14,5,0.004350215852436896,0.08992895152906444,0.6
15,turkey,0,3,0.0004842803605563939,0.06267827072624943,0.6666666666666666
15,turkey,1,5,-0.004568861350351498,-0.0348334096249846,0.0
15,turkey,2,6,0.0036929475566579995,0.07949894465864521,0.6666666666666666
15,turkey,3,3,-0.007727872776437966,-0.13471003511558388,0.3333333333333333
15,turkey,4,4,0.0031453263828519276,0.07722675013042135,0.5
