lookback,threshold,horizon,called_n,called_hit,called_mean_signed,episode_n,episode_hit,episode_binom_p,episode_mean_signed,greedy_n,greedy_hits,greedy_hit,greedy_binom_p,greedy_mean_signed,greedy_median_signed,mbb_block,mbb_ci_low,mbb_ci_high,phase_count,phase_n_min,phase_n_median,phase_hit_min,phase_hit_median,phase_mean_min,phase_mean_median,post_n,post_hit,post_mean_signed,half1_n,half1_hit,half1_mean_signed,half2_n,half2_hit,half2_mean_signed,third1_n,third1_hit,third1_mean_signed,third2_n,third2_hit,third2_mean_signed,third3_n,third3_hit,third3_mean_signed,greedy_holm_p,episode_holm_p,max_shift_p
40,1.25,90,65,0.6461538461538462,0.029670619740782257,15,0.7333333333333333,0.059234619140625,0.027945222498334872,4,2,0.5,0.6875,0.012789069821241162,0.01947137551681994,90,0.029670619740782254,0.02967061974078226,18,3,4.0,0.5,0.5,0.003195847721598772,0.010751463105316482,4,0.5,0.012789069821241162,2,0.5,0.038126215749877845,2,0.5,-0.012548076107395518,1,0.0,-0.022529113060028104,2,1.0,0.08273078880885781,2,0.5,0.006618870804013709,1.0,1.0,
60,0.75,5,148,0.4527027027027027,0.0025444903399962555,20,0.4,0.8684120178222656,-0.0023250605065016023,43,20,0.46511627906976744,0.728807994071758,0.0009648559674510157,0.0,5,-0.0011668331779377472,0.006639615686495627,4,42,42.5,0.4418604651162791,0.4706533776301218,0.0009648559674510157,0.0010359942655881627,38,0.4473684210526316,0.0006191985940101951,12,0.5,0.0038400005546509078,31,0.45161290322580644,-0.0001481032275941041,5,0.6,0.0035918520056012495,22,0.45454545454545453,0.0024576855657665593,16,0.4375,-0.0019087209921548045,1.0,1.0,0.8770409863378874
60,0.75,10,138,0.5217391304347826,0.004499454705316146,19,0.47368421052631576,0.6761970520019531,0.0014033362483904228,24,13,0.5416666666666666,0.4194098711013794,0.0045770823564261496,0.005089069507471293,10,-0.0011396317862977401,0.01079008307859942,8,23,24.0,0.5416666666666666,0.5833333333333334,0.0045770823564261496,0.004894348743981109,22,0.5454545454545454,0.004761859411216196,7,0.5714285714285714,0.006899307785368369,17,0.5294117647058824,0.003620871885685235,2,0.5,0.0025445347537356466,14,0.6428571428571429,0.007805201492044542,9,0.4444444444444444,0.0034295472488648604,1.0,1.0,0.4995001666111296
60,0.75,15,130,0.6,0.008893301986406818,18,0.5,0.5927352905273438,0.00021203283847746505,18,11,0.6111111111111112,0.2403411865234375,0.005070934420285858,0.006643890423461377,15,0.00143477161817641,0.017223210874824216,13,17,17.0,0.5882352941176471,0.5882352941176471,0.004313569131605195,0.004614457406121106,16,0.5625,0.004422704983252658,6,0.8333333333333334,0.011026106192185005,12,0.5,0.0020933485343362854,2,1.0,0.010256769916551466,10,0.6,0.008807532286075632,7,0.5714285714285714,0.004496874434388323,1.0,1.0,0.6107964011996001
60,0.75,30,99,0.8484848484848485,0.030613487751414786,14,0.7857142857142857,0.0286865234375,0.018088516970123033,10,9,0.9,0.0107421875,0.022411226232316176,0.016626282805266308,30,0.018912350985890215,0.04524544268384673,2,10,10.0,0.9,0.9,0.022411226232316176,0.02253796901247558,9,0.8888888888888888,0.022622080276673208,3,1.0,0.014520645089797944,7,0.8571428571428571,0.02579290386482399,1,1.0,0.020513539833102903,6,0.8333333333333334,0.013539060369866256,3,1.0,0.035335679634425944,0.6767578125,1.0,0.10863045651449517
60,0.75,45,92,0.8478260869565217,0.043308000298454156,13,0.6923076923076923,0.1334228515625,0.022974417942551204,6,5,0.8333333333333334,0.109375,0.03373360128699537,0.03556246989833037,45,0.023870568938104388,0.06344902371591382,23,6,6.0,0.6666666666666666,0.8333333333333334,0.024367053023664532,0.03286779847414469,6,0.8333333333333334,0.03373360128699537,1,1.0,0.02824321231339505,5,0.8,0.03483167908171543,0,,,3,0.6666666666666666,0.01657438974355126,3,1.0,0.05265183186405408,1.0,1.0,0.09363545484838387
60,0.75,60,90,0.7555555555555555,0.04285891685344625,11,0.6363636363636364,0.2744140625,0.015505859732597278,6,5,0.8333333333333334,0.109375,0.03421705458878896,0.02911395127873218,60,0.014710346505485384,0.07118241946407602,23,6,6.0,0.6666666666666666,0.8333333333333334,0.02475442805316254,0.031221680854717233,6,0.8333333333333334,0.03421705458878896,1,1.0,0.023048395436291017,6,0.6666666666666666,0.024782138863213354,0,,,2,1.0,0.04876862371351511,4,0.75,0.02694127002642588,1.0,1.0,0.22059313562145952
60,0.75,90,90,0.7111111111111111,0.0353543783709044,10,0.6,0.376953125,0.01864869018300102,4,2,0.5,0.6875,0.005722947331179076,0.006681988486729665,90,0.035354378370904396,0.03535437837090441,24,3,4.0,0.5,0.5,0.003195847721598772,0.00997224279231876,4,0.5,0.005722947331179076,2,0.5,0.006681988486729665,2,0.5,-0.012548076107395518,1,0.0,-0.017566323717899283,2,1.0,0.08012670432672589,2,0.5,0.009250455826151,1.0,1.0,
60,1.0,5,130,0.4461538461538462,0.0028641775180127454,21,0.3333333333333333,0.9608230590820312,-0.0001621010144110621,38,17,0.4473684210526316,0.7911539045817335,0.001419860836792706,0.0,5,-0.0009195487342431528,0.007190936375080707,4,37,37.5,0.42105263157894735,0.45341394025604553,0.001419860836792706,0.0015066563140463422,33,0.42424242424242425,0.0012461717617283665,11,0.45454545454545453,0.0025498532229985037,27,0.4444444444444444,0.0009594935683384923,5,0.6,0.0025662087322173475,20,0.45,0.0031278433796137007,13,0.38461538461538464,-0.0016487076504029172,1.0,1.0,0.8077307564145285
60,1.0,10,122,0.5163934426229508,0.004739842787695767,20,0.65,0.13158798217773438,0.006457480945458666,23,13,0.5652173913043478,0.3388197422027588,0.005916638117486701,0.005089069507471293,10,-0.0006302811989005213,0.01100968119675278,8,22,23.0,0.5652173913043478,0.6086956521739131,0.005916638117486701,0.006271534365488645,21,0.5714285714285714,0.006237790818796328,6,0.5,0.005465161326935564,17,0.5882352941176471,0.0060759828670929866,2,0.5,0.0025445347537356466,13,0.6153846153846154,0.007621052814027034,9,0.5555555555555556,0.007477528854891385,1.0,1.0,0.3615461512829057
